symbol,dll,export,lib
OleRegEnumVerbs,ole32.dll,OleRegEnumVerbs,Ole32.Lib
OleRegGetMiscStatus,ole32.dll,OleRegGetMiscStatus,Ole32.Lib
OleRegGetUserType,ole32.dll,OleRegGetUserType,Ole32.Lib
OleRun,ole32.dll,OleRun,Ole32.Lib
OleSave,ole32.dll,OleSave,Ole32.Lib
OleSavePictureFile,OLEAUT32.dll,423,OleAut32.Lib
OleSaveToStream,ole32.dll,OleSaveToStream,Ole32.Lib
OleSaveToStreamEx,hlink.dll,16,HLink.Lib
OleSetAutoConvert,ole32.dll,OleSetAutoConvert,Ole32.Lib
OleSetClipboard,ole32.dll,OleSetClipboard,Ole32.Lib
OleSetContainedObject,ole32.dll,OleSetContainedObject,Ole32.Lib
OleSetMenuDescriptor,ole32.dll,OleSetMenuDescriptor,Ole32.Lib
OleTranslateAccelerator,ole32.dll,OleTranslateAccelerator,Ole32.Lib
OleTranslateColor,OLEAUT32.dll,421,OleAut32.Lib
OleUIAddVerbMenuA,oledlg.dll,1,OleDlg.Lib
OleUIAddVerbMenuW,oledlg.dll,OleUIAddVerbMenuW,OleDlg.Lib
OleUIBusyA,oledlg.dll,8,OleDlg.Lib
OleUIBusyW,oledlg.dll,OleUIBusyW,OleDlg.Lib
OleUICanConvertOrActivateAs,oledlg.dll,2,OleDlg.Lib
OleUIChangeIconA,oledlg.dll,6,OleDlg.Lib
OleUIChangeIconW,oledlg.dll,OleUIChangeIconW,OleDlg.Lib
OleUIChangeSourceA,oledlg.dll,12,OleDlg.Lib
OleUIChangeSourceW,oledlg.dll,OleUIChangeSourceW,OleDlg.Lib
OleUIConvertA,oledlg.dll,7,OleDlg.Lib
OleUIConvertW,oledlg.dll,OleUIConvertW,OleDlg.Lib
OleUIEditLinksA,oledlg.dll,5,OleDlg.Lib
OleUIEditLinksW,oledlg.dll,OleUIEditLinksW,OleDlg.Lib
OleUIInsertObjectA,oledlg.dll,3,OleDlg.Lib
OleUIInsertObjectW,oledlg.dll,OleUIInsertObjectW,OleDlg.Lib
OleUIObjectPropertiesA,oledlg.dll,11,OleDlg.Lib
OleUIObjectPropertiesW,oledlg.dll,OleUIObjectPropertiesW,OleDlg.Lib
OleUIPasteSpecialA,oledlg.dll,4,OleDlg.Lib
OleUIPasteSpecialW,oledlg.dll,OleUIPasteSpecialW,OleDlg.Lib
OleUIPromptUserA,oledlg.dll,10,OleDlg.Lib
OleUIPromptUserW,oledlg.dll,OleUIPromptUserW,OleDlg.Lib
OleUIUpdateLinksA,oledlg.dll,9,OleDlg.Lib
OleUIUpdateLinksW,oledlg.dll,OleUIUpdateLinksW,OleDlg.Lib
OleUninitialize,ole32.dll,OleUninitialize,Ole32.Lib
OnlineClusterGroup,CLUSAPI.dll,OnlineClusterGroup,ClusApi.Lib
OnlineClusterResource,CLUSAPI.dll,OnlineClusterResource,ClusApi.Lib
OpenBackupEventLogA,ADVAPI32.dll,OpenBackupEventLogA,AdvAPI32.Lib
OpenBackupEventLogW,ADVAPI32.dll,OpenBackupEventLogW,AdvAPI32.Lib
OpenClipboard,USER32.dll,OpenClipboard,User32.Lib
OpenCluster,CLUSAPI.dll,OpenCluster,ClusApi.Lib
OpenClusterEx,CLUSAPI.dll,OpenClusterEx,ClusApi.Lib
OpenClusterGroup,CLUSAPI.dll,OpenClusterGroup,ClusApi.Lib
OpenClusterGroupEx,CLUSAPI.dll,OpenClusterGroupEx,ClusApi.Lib
OpenClusterNetInterface,CLUSAPI.dll,OpenClusterNetInterface,ClusApi.Lib
OpenClusterNetInterfaceEx,CLUSAPI.dll,OpenClusterNetInterfaceEx,ClusApi.Lib
OpenClusterNetwork,CLUSAPI.dll,OpenClusterNetwork,ClusApi.Lib
OpenClusterNetworkEx,CLUSAPI.dll,OpenClusterNetworkEx,ClusApi.Lib
OpenClusterNode,CLUSAPI.dll,OpenClusterNode,ClusApi.Lib
OpenClusterNodeEx,CLUSAPI.dll,OpenClusterNodeEx,ClusApi.Lib
OpenClusterResource,CLUSAPI.dll,OpenClusterResource,ClusApi.Lib
OpenClusterResourceEx,CLUSAPI.dll,OpenClusterResourceEx,ClusApi.Lib
OpenColorProfileA,mscms.dll,OpenColorProfileA,Mscms.Lib
OpenColorProfileW,mscms.dll,OpenColorProfileW,Mscms.Lib
OpenDesktopA,USER32.dll,OpenDesktopA,User32.Lib
OpenDesktopW,USER32.dll,OpenDesktopW,User32.Lib
OpenDisplay,mscms.dll,OpenDisplay,Mscms.Lib
OpenDriver,WINMM.dll,OpenDriver,WinMM.Lib
OpenEncryptedFileRawA,ADVAPI32.dll,OpenEncryptedFileRawA,AdvAPI32.Lib
OpenEncryptedFileRawW,ADVAPI32.dll,OpenEncryptedFileRawW,AdvAPI32.Lib
OpenEnlistment,ktmw32.dll,OpenEnlistment,ktmw32.lib
OpenEventA,KERNEL32.dll,OpenEventA,Kernel32.Lib
OpenEventLogA,ADVAPI32.dll,OpenEventLogA,AdvAPI32.Lib
OpenEventLogW,ADVAPI32.dll,OpenEventLogW,AdvAPI32.Lib
OpenEventW,KERNEL32.dll,OpenEventW,Kernel32.Lib
OpenFile,KERNEL32.dll,OpenFile,Kernel32.Lib
OpenFileById,KERNEL32.dll,OpenFileById,Kernel32.Lib
OpenFileMappingA,KERNEL32.dll,OpenFileMappingA,Kernel32.Lib
OpenFileMappingW,KERNEL32.dll,OpenFileMappingW,Kernel32.Lib
OpenIMsgOnIStg,MAPI32.dll,198,MAPI32.Lib
OpenIMsgSession,MAPI32.dll,196,MAPI32.Lib
OpenINFEngine,ADVPACK.dll,OpenINFEngine,advpack.Lib
OpenINFEngineA,ADVPACK.dll,OpenINFEngineA,advpack.Lib
