symbol,version
DnsConnectionGetProxyInfoForHostUrlEx,10.0.22621
DnsGetDdrInfo,10.0.22621
DnsGetDdrInfoCancel,10.0.22621
DnsGetDdrInfoInternal,10.0.22621
EvictClusterNodeEx2,10.0.22621
FailClusterResourceEx,10.0.22621
FileIconInit,10.0.22621
GetActivityCoordinatorPolicyResourceCondition,10.0.22621
GetPackageGraphRevisionId,10.0.22621
HcnQueryEndpointAddresses,10.0.22621
HcnQueryEndpointStats,10.0.22621
HcsAddResourceToOperation,10.0.22621
HcsCreateOperationWithNotifications,10.0.22621
HdvInitializeDeviceHostEx,10.0.22621
HdvInitializeDeviceHostForProxyEx,10.0.22621
IsCrossIsolatedEnvironmentClipboardContent,10.0.22621
JetDeleteTable2,10.0.22621
JetDeleteTable2A,10.0.22621
JetDeleteTable2W,10.0.22621
MFCreateCameraControlMonitor,10.0.22621
MMDeviceCreateAudioSystemEffectsPropertyStore,10.0.22621
MoveClusterGroupEx2,10.0.22621
NPGetPersistentUseOptionsForConnection2,10.0.22621
NPGetReconnectFlags,10.0.22621
NtCopyFileChunk,10.0.22621
NtCreateCpuPartition,10.0.22621
NtOpenCpuPartition,10.0.22621
NtQueryInformationCpuPartition,10.0.22621
NtSetInformationCpuPartition,10.0.22621
OfflineClusterGroupEx2,10.0.22621
OfflineClusterResourceEx2,10.0.22621
OnlineClusterGroupEx2,10.0.22621
OnlineClusterResourceEx2,10.0.22621
OpenTraceFromBufferStream,10.0.22621
OpenTraceFromFile,10.0.22621
OpenTraceFromRealTimeLogger,10.0.22621
OpenTraceFromRealTimeLoggerWithAllocationOptions,10.0.22621
PauseClusterNodeEx2,10.0.22621
ProcessTraceAddBufferToBufferStream,10.0.22621
ProcessTraceBufferDecrementReference,10.0.22621
ProcessTraceBufferIncrementReference,10.0.22621
Query_InProcSetCompletion,10.0.22621
RegisterForTooltipDismissNotification,10.0.22621
RemoveClusterGroupDependencyEx,10.0.22621
RemoveClusterGroupSetDependencyEx,10.0.22621
RemoveClusterGroupToGroupSetDependencyEx,10.0.22621
RemoveClusterResourceDependencyEx,10.0.22621
RemoveClusterResourceNodeEx,10.0.22621
RestartClusterResourceEx,10.0.22621
ResumeClusterNodeEx2,10.0.22621
RtlDisownModuleHeapAllocation,10.0.22621
RtlInterlockedClearBitRunEx,10.0.22621
RtlLengthCurrentClearRunBackwardEx,10.0.22621
RtlLengthCurrentClearRunForwardEx,10.0.22621
RtlOverwriteFeatureConfigurationBuffer,10.0.22621
SHCompareIDsFull,10.0.22621
SHCreateFileDataObject,10.0.22621
SHCreateLinks,10.0.22621
SHCreateNotCondition,10.0.22621
SHCreateNotConditionEx,10.0.22621
SHCreateRelatedItemFromIDList,10.0.22621
SHCreateRelatedItemWithParent,10.0.22621
SHCreateTransferFallback,10.0.22621
SHExtCoCreateInstanceCheckCategory,10.0.22621
SHGetTopViewDescription,10.0.22621
SHIconIndexFromPIDL,10.0.22621
SaveTopViewSettings,10.0.22621
SetActivityCoordinatorPolicyResourceCondition,10.0.22621
SetAdditionalForegroundBoostProcesses,10.0.22621
SetClusterGroupNameEx,10.0.22621
SetClusterGroupNodeListEx,10.0.22621
SetClusterGroupSetDependencyExpressionEx,10.0.22621
SetClusterNameEx,10.0.22621
SetClusterNetworkNameEx,10.0.22621
SetClusterQuorumResourceEx,10.0.22621
SetClusterResourceNameEx,10.0.22621
SetGroupDependencyExpressionEx,10.0.22621
SpLsaModeInitialize,10.0.22621
SslDeserializeCertificateStore,10.0.22621
StackWalk2,10.0.22621
SubscribeActivityCoordinatorPolicy,10.0.22621
Tbsi_Is_Tpm_Present,10.0.22621
UnsubscribeActivityCoordinatorPolicy,10.0.22621
WebAuthNDeletePlatformCredential,10.0.22621
WebAuthNFreePlatformCredentialList,10.0.22621
WebAuthNGetPlatformCredentialList,10.0.22621
WerpAddAppCompatData,10.0.22621
WerpAddIfRegisteredForAppLocalDump,10.0.22621
WerpAddMemoryBlock,10.0.22621
WerpAddRegisteredDataToReport,10.0.22621
WerpAddRegisteredDumpsToReport,10.0.22621
WerpAddRegisteredMetadataToReport,10.0.22621
WerpArchiveReport,10.0.22621
WerpCancelUpload,10.0.22621
WerpCleanWer,10.0.22621
WerpCloseStore,10.0.22621
WerpCreateMachineStore,10.0.22621
WerpDeleteReport,10.0.22621
WerpDestroyWerString,10.0.22621
WerpEnumerateStoreNext,10.0.22621
WerpEnumerateStoreStart,10.0.22621
WerpForceDeferredCollection,10.0.22621
WerpFreeUnmappedVaRanges,10.0.22621
WerpGetBucketId,10.0.22621
WerpGetDynamicParameter,10.0.22621
WerpGetEventType,10.0.22621
WerpGetExtendedDiagData,10.0.22621
